DIAG SET 5: CN ANNUAL MEANS OVER LAND
 
TEST CASE (case1):      LU2000_ne240-ne240  (yrs 1979-1980)
COL_NTRUNC(TgN) column-level sink for N truncation                      -999.000            -999.000
PFT_NTRUNC(TgN) pft-level sink for N truncation                         -999.000            -999.000
COL_FIRE_CLOSS(PgC/y) total column-level fire C loss                       1.304               1.383
PFT_FIRE_CLOSS(PgC/y) total pft-level fire C loss                          0.891               0.958
COL_FIRE_NLOSS(TgN/y) total column-level fire N loss                      24.719              21.872
PFT_FIRE_NLOSS(TgN/y) total pft-level fire N loss                         18.349              15.257
FAREA_BURNED(proportion/y) fractional area burned                          0.022               0.023
BAF_CROP(proportion/y) fractional area burned - crop                       0.001               0.000
CWDC_HR(PgC/y) Coarse Woody Debris C Hetereotrophic respiration         -999.000            -999.000
CWDC_LOSS(PgC/y) Coarse Woody Debris C Loss                                9.116               9.572
FROOTC_ALLOC(PgC/m2y) Fine root C allocation                              18.268              19.292
FROOTC_LOSS(PgC/m2y) Fine root C Loss                                     18.135              19.221
LEAFC_ALLOC(PgC/m2y) Leaf C Allocation                                    13.444              13.326
LEAFC_LOSS(PgC/m2y) Leaf C Loss                                           13.322              13.249
LITTERC(PgC) Total Litter C                                             -999.000            -999.000
LITTERC_HR(PgC/m2y) Litter Hetereotrophic Respiration                     22.458              22.509
LITTERC_LOSS(PgC/m2y) Litter C Loss                                       44.247              44.363
SOILC(PgC) soil organic matter C (fast pool)                            -999.000            -999.000
SOILC_HR(PgC/y) Soil C hetereotrophic respiration                         21.356              21.474
SOILC_LOSS(PgC/y) Soil C Loss                                           -999.000            -999.000
WOODC(PgC) Wood C                                                        445.334             515.518
WOODC_ALLOC(PgC/y) Wood C Allocation                                      15.315              16.228
WOODC_LOSS(PgC/y) Wood C Loss                                              9.286              10.771
